time/steps,time/epochs,time/steps_per_second,time/dataset,time/extras_step,time/processor,time/train_step,train/q_loss,train/q,train/chi2_loss,train/actor_loss,train/reward,train/data_pts_seen,train/flops,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step,eval/TimeLimit.truncated
5000,0,42.37502113545995,0.0007493495941162109,8.58306884765625e-06,9.942054748535156e-05,0.022458553314208984,0.8265861648693681,-0.08035554210894043,0.04210167818143964,1.452524282693863,0.0005751898793678265,5966876.352,11933752.704,2.3603439331054688e-05,8.63536787033081,0.3310032207851867,1057.0016102332688,1000.0,0.642387804470962,5000,1.0
10000,0,42.56852919746885,0.0006976127624511719,8.344650268554688e-06,9.655952453613281e-05,0.021666765213012695,1.8399812134280802,-0.21883825913234614,0.39567193123698235,1.4606018500328064,0.004838661659567151,12246874.88,24493749.76,2.4318695068359375e-05,6.201309680938721,0.6580501371775396,2121.3994467594703,741.8,129.40964491124492,10000,1.0
15000,0,42.82258943703117,0.0007131099700927734,1.0013580322265625e-05,9.655952453613281e-05,0.021738767623901367,3.807137613415718,-0.4893610112890601,1.7574535195827483,2.8698657348155976,0.003735608480652445,18526877.44,37053754.88,2.288818359375e-05,0.6253595352172852,0.04755758502420425,134.5072941124579,73.8,4.343738334947854,15000,1.0
20000,0,43.80562540436847,0.0007793903350830078,9.775161743164062e-06,0.00010132789611816406,0.022898435592651367,6.767261660076678,-1.0331626258390025,5.270894602775574,7.055567745685577,0.05354393139528111,24806875.968,49613751.936,2.3603439331054688e-05,2.1395742893218994,0.20008028575100884,630.9034517817196,255.0,495.59746024042045,20000,1.0
25000,0,40.220342404309804,0.0007579326629638672,8.821487426757812e-06,9.846687316894531e-05,0.022287607192993164,10.143004523471696,-1.7616173749268056,10.09016065788269,12.070905694961548,0.06390598334046081,31086874.496,62173748.992,3.457069396972656e-05,5.948333263397217,0.5328260331366879,1713.8485458296768,616.5,416.0122141574986,25000,1.0
15000,0,43.90335188159121,0.000972747802734375,2.1457672119140625e-05,0.0001392364501953125,0.03397417068481445,3.765823726185976,-0.6603101413091644,1.8576459467411042,2.9619805853366854,0.01914831519301515,18525621.504,37051243.008,3.4809112548828125e-05,8.235158920288086,0.8374573935234271,2705.293334578832,953.3,109.54182366652498,15000,1.0
20000,0,43.897545739884514,0.0009918212890625,1.0728836059570312e-05,0.00013709068298339844,0.02968907356262207,7.175438050805958,-1.3495354900611565,5.338408165454864,7.343456824302673,0.07147028749098536,24805620.032,49611240.064,2.3126602172851562e-05,1.2880003452301025,0.0899034429172684,272.3249504426901,149.4,22.122731844009355,20000,1.0
25000,0,44.32077606330822,0.0007107257843017578,8.58306884765625e-06,0.00010037422180175781,0.024394512176513672,10.051689394741487,-2.4646510401992128,11.273829466819763,13.217609272003173,0.07242343972154777,31085618.56,62171237.12,5.078315734863281e-05,2.2434961795806885,0.19230544750724754,605.5996785577192,258.9,220.65780677081406,25000,1.0
30000,0,43.89625936995286,0.0007655620574951172,8.821487426757812e-06,0.00010275840759277344,0.022600650787353516,13.913206020593643,-4.474516872534529,18.325723987579345,17.41198456287384,0.09833758947020396,37365621.12,74731242.24,3.2901763916015625e-05,1.9798460006713867,0.1523678418874066,475.6198533793724,230.5,8.546442977209715,30000,1.0
35000,0,43.83829486451636,0.0007162094116210938,8.106231689453125e-06,0.0001010894775390625,0.021723508834838867,18.96389587509354,-6.957831810943782,28.198087020874024,20.526876348495485,0.09261530632793438,43645619.648,87291239.296,2.2649765014648438e-05,5.717630624771118,0.4471560944212983,1435.0295359155225,685.2,711.0764259953484,35000,1.0
